respondent_id,start_time,completion_time,age,student_category,income_source,financial_understanding,taken_finance_course,challenging_concepts_ranked,tracks_expenses,methods_used,saving_frequency,helpful_features,tool_motivation,stress_frequency,engaging_factors,one_change
1,2024-10-18 12:25:17,2024-10-18 12:28:27,21,Dutch Student,Loans/Scholarships,Poor,No,Saving;Budgeting;Taxes;Debt management;Loans/Credit;Investing,"No, not at all",I don't track my finances.,Occasionally,Customizable financial reports/Insights,It's hard to use,Sometimes,Other (please specify),A prediction model
2,2024-10-18 12:25:21,2024-10-18 12:29:01,39,Other (specify),Other (please specify),Fair,No,Loans/Credit;Taxes;Investing;Saving;Budgeting;Debt management,Sometimes,Banking App,Occasionally,Expense categorization;Budget tracking;Investment tracking;Customizable financial reports/Insights,I don’t have the time,Sometimes,Simple and user-friendly design;Personalized financial advice;Integration with banking apps;Visualizations of spending and savings goals,To gain more control
3,2024-10-18 12:27:29,2024-10-18 12:30:00,34,International Student,Other,Poor,No,Saving;Budgeting;Debt management;Investing;Taxes;Loans/Credit,"Yes, regularly","Spreadsheets (Excel, Google Sheets, Mac Numbers);Banking App",Rarely,Budget tracking;Savings goals;Expense categorization;Financial tips/education;Customizable financial reports/Insights;Investment tracking;Debt management features,It's hard to use;I use other methods,Always,Personalized financial advice;Integration with banking apps;Visualizations of spending and savings goals,It could be better if they can teach the students in the app what would make their financial management skills better and improved.
4,2024-10-18 12:25:47,2024-10-18 12:35:47,31,International Student,Parents Support,Good,No,Investing;Taxes;Loans/Credit;Debt management;Saving;Budgeting,Sometimes,Banking App,Always,Budget tracking,I don’t have the time;I don’t see the need;It's hard to use,Rarely,Integration with banking apps;Visualizations of spending and savings goals,Check my monthly expenses log at first
5,2024-10-18 13:01:47,2024-10-18 13:03:36,28,EU/EEA Student,Loans/Scholarships,Fair,No,Investing;Debt management;Taxes;Loans/Credit;Budgeting;Saving,Sometimes,"Spreadsheets (Excel, Google Sheets, Mac Numbers)",Always,Savings goals;Expense categorization;Investment tracking;Customizable financial reports/Insights,I don’t have the time,Always,Simple and user-friendly design;Integration with banking apps;Personalized financial advice,More investments
6,2024-10-18 13:05:12,2024-10-18 13:20:47,31,International Student,Parents Support,Fair,No,Investing;Loans/Credit;Taxes;Budgeting;Saving;Debt management,"Yes, regularly","Financial Apps (Mint, YNAB, etc.)",Sometimes,Budget tracking;Savings goals;Expense categorization;Investment tracking;Alerts/reminders for bills and payments;Customizable financial reports/Insights,It helps me reach my financial goals;It helps me stay organized,Often,Simple and user-friendly design;Personalized financial advice;Visualizations of spending and savings goals,record all my expences real-time (like connecting the app to my bank account that can track it real-time)
7,2024-10-18 14:50:49,2024-10-18 14:57:14,26,International Student,Part-Time Job and Student Loan,Poor,No,Saving;Investing;Loans/Credit;Taxes;Budgeting;Debt management,Sometimes,Banking App,Rarely,Budget tracking;Savings goals;Expense categorization,It's hard to use,Always,Simple and user-friendly design;Personalized financial advice;Visualizations of spending and savings goals,Be able to manage
8,2024-10-18 14:54:48,2024-10-18 14:58:13,37,International Student,Savings,Good,No,Taxes;Budgeting;Saving;Debt management;Investing;Loans/Credit,"Yes, regularly","Spreadsheets (Excel, Google Sheets, Mac Numbers);Banking App",Sometimes,Budget tracking;Expense categorization,It helps me reach my financial goals,Often,Integration with banking apps;Visualizations of spending and savings goals,"Breaking my non-fixed expenses (recreation, food, drinks) and breaking it up into the days left for the month so I know my daily allowance (and it dynamically adjusts based on how much I have or haven’t spent the previous days)"
9,2024-10-18 17:06:21,2024-10-18 17:09:31,24,Dutch Student,Parents Support,Poor,No,Investing;Taxes;Debt management;Loans/Credit;Budgeting;Saving,Sometimes,Banking App,Always,Budget tracking;Expense categorization;Debt management features;Alerts/reminders for bills and payments;Customizable financial reports/Insights,It's hard to use,Often,Simple and user-friendly design;Personalized financial advice,"the overview and customization, I have trouble gaining a clear view of everything going on which overwhelms me"
10,2024-10-18 17:56:20,2024-10-18 17:58:30,26,EU/EEA Student,Other,Fair,Yes,Investing;Taxes;Loans/Credit;Saving;Debt management;Budgeting,"No, not at all",I don't track my finances.,Occasionally,Budget tracking;Savings goals;Expense categorization;Investment tracking;Financial tips/education;Alerts/reminders for bills and payments,It's hard to use,Often,Visualizations of spending and savings goals;Integration with banking apps;Personalized financial advice;Simple and user-friendly design,I would be more organized with my finances
11,2024-10-18 21:45:07,2024-10-18 21:45:25,26,International Student,Part-Time Job,,,,,,,,,,,
